"","Type","positive","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","F1","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","Size","AUC"
"25","angryWow","0",0.711589782691575,0.423179565383149,0.699120143164937,0.723823612691557,0.5,5.4619296793288e-213,1.9424940299208e-13,0.656881433473122,0.766298131910027,0.737585616438356,0.690721649484536,0.737585616438356,0.656881433473122,0.694898164952611,0.5,0.328440716736561,0.445291650781548,0.711589782691574,10492,0.711589782691574
"26","angryWow","0",0.706061761341975,0.41212352268395,0.693526480919629,0.718367405993384,0.5,8.87923240358171e-202,3.59706414102064e-12,0.65383149065955,0.7582920320244,0.73009791400596,0.686572316189161,0.73009791400596,0.65383149065955,0.689863234111022,0.5,0.326915745329775,0.447769729317575,0.706061761341975,10492,0.706061761341975
"27","angryWow","0",0.699199390011437,0.398398780022875,0.686585660039428,0.711591146481608,0.5,2.51025129110593e-188,2.64597878693874e-08,0.656881433473122,0.741517346549752,0.717617659308621,0.683655536028119,0.717617659308621,0.656881433473122,0.685907643312102,0.5,0.328440716736561,0.457682043461685,0.699199390011437,10492,0.699199390011437
"28","angryWow","0",0.705871139916127,0.411742279832253,0.693333635190826,0.718179221736303,0.5,2.13287023923416e-201,1.96062490697355e-10,0.658025162028212,0.753717117804041,0.727655986509275,0.687891440501044,0.727655986509275,0.658025162028212,0.691091091091091,0.5,0.329012581014106,0.452154022112085,0.705871139916127,10492,0.705871139916126
"29","angryWow","0",0.709111704155547,0.418223408311094,0.696612366891498,0.721377999594981,0.5,6.37761749674204e-208,3.99594599502322e-12,0.657262676324819,0.760960731986275,0.7333049766057,0.689464594127806,0.7333049766057,0.657262676324819,0.693204664254121,0.5,0.328631338162409,0.448150972169272,0.709111704155547,10492,0.709111704155547
"30","angryWow","0",0.705299275638582,0.410598551277163,0.692755113576536,0.717614653384195,0.5,2.93996586420996e-200,5.48951572007453e-12,0.653450247807854,0.75714830346931,0.729051467460655,0.6860103626943,0.729051467460655,0.653450247807854,0.689183755528749,0.5,0.326725123903927,0.448150972169272,0.705299275638582,10492,0.705299275638582
"31","angryLove","0",0.643820831084727,0.287641662169455,0.628159799761296,0.659254712130106,0.5,8.95709457405171e-70,0.393522389926348,0.652455477603886,0.635186184565569,0.641379310344828,0.646348160351455,0.641379310344828,0.652455477603886,0.646869983948636,0.5,0.326227738801943,0.508634646519158,0.643820831084727,7414,0.643820831084727
"32","angryLove","0",0.669185105234754,0.338370210469509,0.653773064983843,0.684329880965627,0.5,2.85862785519531e-96,0.548669359668105,0.663248785752833,0.675121424716676,0.671217913708356,0.6672,0.671217913708356,0.663248785752833,0.667209554831705,0.5,0.331624392876417,0.494063680518079,0.669185105234754,7414,0.669185105234754
"33","angryLove","0",0.654074473826228,0.308148947652455,0.638508289765464,0.669397294426218,0.5,6.19346728383839e-80,0.301428707431406,0.664328116567728,0.643820831084727,0.650978318350079,0.657300275482094,0.650978318350079,0.664328116567728,0.65758547008547,0.5,0.332164058283864,0.5102536427415,0.654074473826228,7414,0.654074473826228
"34","angryLove","0",0.64543982730707,0.290879654614139,0.629793256134044,0.660856688493572,0.5,2.49507019396771e-71,0.934041907111909,0.644360496492175,0.646519158121964,0.645754461871282,0.645126548196015,0.645754461871282,0.644360496492175,0.645056726094003,0.5,0.322180248246087,0.498920669185105,0.64543982730707,7414,0.64543982730707
"35","angryLove","0",0.651915812196438,0.303831624392876,0.63632901289603,0.667262661679665,0.5,9.83020750599205e-78,0.277545453787241,0.662709120345386,0.641122504047491,0.648705758055996,0.65526751241037,0.648705758055996,0.662709120345386,0.655632674853177,0.5,0.331354560172693,0.510793308148948,0.651915812196438,7414,0.651915812196438
"36","angryLove","0",0.653264975715057,0.306529951430113,0.63769102022367,0.668596847884064,0.5,4.17867158770749e-79,0.0102739387014102,0.628170534268753,0.67835941716136,0.661363636363636,0.645940390544707,0.661363636363636,0.628170534268753,0.644339883753114,0.5,0.314085267134377,0.474905558553697,0.653264975715057,7414,0.653264975715057
"37","angryLove","0",0.661090124123044,0.322180248246087,0.645593352029762,0.676332437080461,0.5,2.5766952392032e-87,0.0120294143785775,0.636805180787911,0.685375067458176,0.669313669880885,0.653628409675759,0.669313669880885,0.636805180787911,0.652654867256637,0.5,0.318402590393956,0.475715056664868,0.661090124123044,7414,0.661090124123044
"38","angryLove","0",0.64328116567728,0.28656233135456,0.6276153569848,0.658720677306348,0.5,2.92719189850125e-69,0.0738224357082058,0.625472207231516,0.661090124123044,0.648573027420257,0.638353309015112,0.648573027420257,0.625472207231516,0.636813186813187,0.5,0.312736103615758,0.482191041554236,0.64328116567728,7414,0.64328116567728
