"","Organization","Type","positive","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","F1","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","Size","AUC"
"28","Cnn","wowData","0",0.766666666666667,0.533333333333333,0.737630954824788,0.793944825417806,0.5,1.18433623731586e-60,0.629063151814892,0.775555555555556,0.757777777777778,0.762008733624454,0.771493212669683,0.762008733624454,0.775555555555556,0.768722466960352,0.5,0.387777777777778,0.508888888888889,0.766666666666667,1803,0.766666666666667
"29","Cnn","wowData","0",0.745555555555556,0.491111111111111,0.715769590897273,0.773724293204449,0.5,2.648507356554e-51,0.0173621739075838,0.786666666666667,0.704444444444444,0.726899383983573,0.767554479418886,0.726899383983573,0.786666666666667,0.755602988260406,0.5,0.393333333333333,0.541111111111111,0.745555555555556,1803,0.745555555555556
"30","Cnn","wowData","0",0.767777777777778,0.535555555555556,0.738784127715867,0.795006477201906,0.5,3.58962881274114e-61,0.128066264619542,0.793333333333333,0.742222222222222,0.754756871035941,0.782201405152225,0.754756871035941,0.793333333333333,0.773564463705309,0.5,0.396666666666667,0.525555555555556,0.767777777777778,1803,0.767777777777778
"31","USAToday","wowData","0",0.669039145907473,0.338078291814947,0.628433636620757,0.707856017732593,0.5,4.15191159105284e-16,0.419920526805873,0.690391459074733,0.647686832740214,0.662116040955631,0.676579925650558,0.662116040955631,0.690391459074733,0.67595818815331,0.5,0.345195729537367,0.52135231316726,0.669039145907473,1125,0.669039145907473
"32","USAToday","wowData","0",0.677935943060498,0.355871886120996,0.637554059083866,0.716434671498147,0.5,1.0791038102367e-17,0.881822849664825,0.683274021352313,0.672597864768683,0.676056338028169,0.679856115107914,0.676056338028169,0.683274021352313,0.679646017699115,0.5,0.341637010676157,0.505338078291815,0.677935943060498,1125,0.677935943060498
"33","USAToday","wowData","0",0.695729537366548,0.391459074733096,0.655843038368612,0.733543636267067,0.5,3.97404815542955e-21,0.28434628350584,0.722419928825623,0.669039145907473,0.685810810810811,0.706766917293233,0.685810810810811,0.722419928825623,0.703639514731369,0.5,0.361209964412811,0.526690391459075,0.695729537366548,1125,0.695729537366548
"34","USAToday","wowData","0",0.640569395017794,0.281138790035587,0.599351640936829,0.680300578309958,0.5,1.31463748893315e-11,0.139526968442577,0.679715302491103,0.601423487544484,0.63036303630363,0.652509652509653,0.63036303630363,0.679715302491103,0.654109589041096,0.5,0.339857651245552,0.53914590747331,0.640569395017794,1125,0.640569395017794
"35","USAToday","wowData","0",0.677935943060498,0.355871886120996,0.637554059083866,0.716434671498147,0.5,1.0791038102367e-17,0.0374134435016457,0.729537366548043,0.626334519572954,0.661290322580645,0.698412698412698,0.661290322580645,0.729537366548043,0.693739424703892,0.5,0.364768683274021,0.551601423487544,0.677935943060498,1125,0.677935943060498
"36","USAToday","wowData","0",0.672597864768683,0.345195729537367,0.632079916275752,0.711289376297368,0.5,9.8757326944105e-17,1,0.672597864768683,0.672597864768683,0.672597864768683,0.672597864768683,0.672597864768683,0.672597864768683,0.672597864768683,0.5,0.336298932384342,0.5,0.672597864768683,1125,0.672597864768683
"37","USAToday","wowData","0",0.688612099644128,0.377224199288256,0.648519618342181,0.726707914153996,0.5,1.03613899901109e-19,0.28991845394257,0.661921708185053,0.715302491103203,0.699248120300752,0.679054054054054,0.699248120300752,0.661921708185053,0.680073126142596,0.5,0.330960854092527,0.473309608540925,0.688612099644128,1125,0.688612099644128
"38","USAToday","wowData","0",0.667259786476868,0.334519572953737,0.626611433701638,0.706138397808824,0.5,8.41242664851918e-16,0.107660226775484,0.708185053380783,0.626334519572954,0.654605263157895,0.682170542635659,0.654605263157895,0.708185053380783,0.68034188034188,0.5,0.354092526690391,0.540925266903915,0.667259786476868,1125,0.667259786476868
"39","USAToday","wowData","0",0.679715302491103,0.359430604982206,0.639380043566501,0.718148494353003,0.5,5.07677928403485e-18,0.332563754900346,0.704626334519573,0.654804270462633,0.671186440677966,0.689138576779026,0.671186440677966,0.704626334519573,0.6875,0.5,0.352313167259786,0.52491103202847,0.679715302491103,1125,0.679715302491103
"40","USAToday","wowData","0",0.711743772241993,0.423487544483986,0.672360081280844,0.748884470174108,0.5,1.58608656362217e-24,0.307076112897737,0.686832740213523,0.736654804270463,0.722846441947566,0.701694915254237,0.722846441947566,0.686832740213523,0.704379562043796,0.5,0.343416370106762,0.47508896797153,0.711743772241993,1125,0.711743772241993
"41","NYT","wowData","0",0.680424528301887,0.360849056603774,0.64786282125168,0.711726392530574,0.5,1.63683633531834e-26,1,0.681603773584906,0.679245283018868,0.68,0.680851063829787,0.68,0.681603773584906,0.680800942285041,0.5,0.340801886792453,0.501179245283019,0.680424528301887,1696,0.680424528301887
"42","NYT","wowData","0",0.663915094339623,0.327830188679245,0.631004830486094,0.695681143831352,0.5,4.02593962198901e-22,0.192517572436471,0.691037735849057,0.636792452830189,0.655480984340045,0.673316708229426,0.655480984340045,0.691037735849057,0.672789896670494,0.5,0.345518867924528,0.527122641509434,0.663915094339623,1696,0.663915094339623
"43","NYT","wowData","0",0.668632075471698,0.337264150943396,0.635816907659435,0.700270004266488,0.5,2.4905842674288e-23,0.905029763412364,0.665094339622642,0.672169811320755,0.669833729216152,0.667447306791569,0.669833729216152,0.665094339622642,0.667455621301775,0.5,0.332547169811321,0.496462264150943,0.668632075471698,1696,0.668632075471698
"44","NYT","wowData","0",0.6875,0.375,0.655101353167357,0.718589210526982,0.5,1.55894851319267e-28,0.805900501153018,0.693396226415094,0.681603773584906,0.685314685314685,0.689737470167064,0.685314685314685,0.693396226415094,0.689331770222743,0.5,0.346698113207547,0.505896226415094,0.6875,1696,0.6875
"45","NYT","wowData","0",0.667452830188679,0.334905660377359,0.634613554831096,0.699123123558696,0.5,5.0334499038359e-23,0.952514732073229,0.665094339622642,0.669811320754717,0.66824644549763,0.666666666666667,0.66824644549763,0.665094339622642,0.666666666666667,0.5,0.332547169811321,0.497641509433962,0.667452830188679,1696,0.667452830188679
"46","NYT","wowData","0",0.663915094339623,0.327830188679245,0.631004830486094,0.695681143831352,0.5,4.02593962198901e-22,0.635586122278767,0.653301886792453,0.674528301886792,0.667469879518072,0.660508083140877,0.667469879518072,0.653301886792453,0.66030989272944,0.5,0.326650943396226,0.48938679245283,0.663915094339623,1696,0.663915094339623
"47","NYT","wowData","0",0.669811320754717,0.339622641509434,0.637020483829363,0.701416661044262,0.5,1.22587860699356e-23,0.437218599625028,0.686320754716981,0.653301886792453,0.664383561643836,0.675609756097561,0.664383561643836,0.686320754716981,0.675174013921114,0.5,0.343160377358491,0.516509433962264,0.669811320754717,1696,0.669811320754717
"48","NYT","wowData","0",0.681603773584906,0.363207547169811,0.649068665072928,0.712870775388067,0.5,7.63852461714433e-27,0.0592141575062265,0.719339622641509,0.643867924528302,0.668859649122807,0.696428571428571,0.668859649122807,0.719339622641509,0.693181818181818,0.5,0.359669811320755,0.537735849056604,0.681603773584906,1696,0.681603773584906
"49","NYT","wowData","0",0.683962264150943,0.367924528301887,0.651481044444048,0.715158847365535,0.5,1.63678983234914e-27,0.0582746184376409,0.64622641509434,0.721698113207547,0.698979591836735,0.671052631578947,0.698979591836735,0.64622641509434,0.67156862745098,0.5,0.32311320754717,0.462264150943396,0.683962264150943,1696,0.683962264150943
"50","NYT","wowData","0",0.645047169811321,0.290094339622641,0.611791534773488,0.677290603139353,0.5,1.19738327929402e-17,0.644718013030375,0.655660377358491,0.634433962264151,0.64203233256351,0.648192771084337,0.64203233256351,0.655660377358491,0.6487747957993,0.5,0.327830188679245,0.51061320754717,0.645047169811321,1696,0.645047169811321
"51","NBC","wowData","0",0.675202156334232,0.350404312668464,0.640186424243957,0.708817941590262,0.5,3.69401139156126e-22,0.606325721615039,0.68733153638814,0.663072776280323,0.671052631578947,0.679558011049724,0.671052631578947,0.68733153638814,0.679094540612517,0.5,0.34366576819407,0.512129380053908,0.675202156334232,1487,0.675202156334232
"52","NBC","wowData","0",0.684636118598383,0.369272237196766,0.649843442064849,0.717953175338455,0.5,1.83668245485438e-24,0.743773605768232,0.692722371967655,0.676549865229111,0.681697612732095,0.687671232876712,0.681697612732096,0.692722371967655,0.687165775401069,0.5,0.346361185983827,0.508086253369272,0.684636118598383,1487,0.684636118598383
"53","NBC","wowData","0",0.691374663072776,0.382749326145553,0.656751007650783,0.724468614044452,0.5,3.45345959228938e-26,0.354889946942523,0.671159029649596,0.711590296495957,0.699438202247191,0.683937823834197,0.699438202247191,0.671159029649596,0.685006877579092,0.5,0.335579514824798,0.479784366576819,0.691374663072776,1487,0.691374663072776
"54","NBC","wowData","0",0.676549865229111,0.353099730458221,0.641565040572358,0.710123935730634,0.5,1.76362603280437e-22,0.846450596876591,0.681940700808625,0.671159029649596,0.674666666666667,0.678474114441417,0.674666666666667,0.681940700808625,0.67828418230563,0.5,0.340970350404313,0.505390835579515,0.676549865229111,1487,0.676549865229111
"55","NBC","wowData","0",0.703504043126685,0.407008086253369,0.669205497365591,0.736175457176085,0.5,1.81945658041663e-29,0.251737325886578,0.727762803234501,0.679245283018868,0.694087403598972,0.713881019830028,0.694087403598972,0.727762803234501,0.710526315789474,0.5,0.363881401617251,0.524258760107817,0.703504043126685,1487,0.703504043126685
"56","NBC","wowData","0",0.69811320754717,0.39622641509434,0.663666814859301,0.730975781937111,0.5,5.55253516975375e-28,0.547615021541465,0.711590296495957,0.684636118598383,0.692913385826772,0.703601108033241,0.692913385826772,0.711590296495957,0.702127659574468,0.5,0.355795148247978,0.513477088948787,0.69811320754717,1487,0.69811320754717
"57","NBC","wowData","0",0.694070080862534,0.388140161725067,0.659516333171248,0.727072482174565,0.5,6.74458915016563e-27,0.595433574607794,0.681940700808625,0.706199460916442,0.698895027624309,0.689473684210526,0.698895027624309,0.681940700808625,0.69031377899045,0.5,0.340970350404313,0.487870619946092,0.694070080862534,1487,0.694070080862534
"58","NBC","wowData","0",0.694070080862534,0.388140161725067,0.659516333171248,0.727072482174565,0.5,6.74458915016563e-27,0.690457715375785,0.703504043126685,0.684636118598383,0.690476190476191,0.697802197802198,0.69047619047619,0.703504043126685,0.696929238985314,0.5,0.351752021563342,0.509433962264151,0.694070080862534,1487,0.694070080862534
"59","NBC","wowData","0",0.727762803234501,0.455525606469003,0.69419839831496,0.759504888997955,0.5,1.04916480307849e-36,0.18127639241267,0.754716981132076,0.700808625336927,0.716112531969309,0.740740740740741,0.716112531969309,0.754716981132076,0.73490813648294,0.5,0.377358490566038,0.526954177897574,0.727762803234501,1487,0.727762803234501
"60","NBC","wowData","0",0.684636118598383,0.369272237196766,0.649843442064849,0.717953175338455,0.5,1.83668245485438e-24,0.395415946022569,0.665768194070081,0.703504043126685,0.69187675070028,0.677922077922078,0.69187675070028,0.665768194070081,0.678571428571428,0.5,0.33288409703504,0.481132075471698,0.684636118598383,1487,0.684636118598383
"61","The Guardian","wowData","0",0.691091954022989,0.382183908045977,0.655289730376996,0.725264649232185,0.5,1.32594468352762e-24,0.101675105316685,0.727011494252874,0.655172413793103,0.67828418230563,0.705882352941177,0.67828418230563,0.727011494252874,0.701803051317614,0.5,0.363505747126437,0.535919540229885,0.691091954022989,1393,0.691091954022989
"62","The Guardian","wowData","0",0.689655172413793,0.379310344827586,0.653815314785873,0.723877808121728,0.5,2.96852206432667e-24,0.0349201756018319,0.735632183908046,0.64367816091954,0.673684210526316,0.708860759493671,0.673684210526316,0.735632183908046,0.703296703296703,0.5,0.367816091954023,0.545977011494253,0.689655172413793,1393,0.689655172413793
"63","The Guardian","wowData","0",0.704022988505747,0.408045977011494,0.668577041808556,0.737728580152752,0.5,6.9362017161901e-28,0.625753064394533,0.71551724137931,0.692528735632184,0.699438202247191,0.708823529411765,0.699438202247191,0.71551724137931,0.707386363636364,0.5,0.357758620689655,0.511494252873563,0.704022988505747,1393,0.704022988505747
"64","The Guardian","wowData","0",0.735632183908046,0.471264367816092,0.70119648035656,0.768056022423234,0.5,6.21363642929151e-37,0.0098733320911927,0.78735632183908,0.683908045977011,0.713541666666667,0.762820512820513,0.713541666666667,0.78735632183908,0.748633879781421,0.5,0.39367816091954,0.551724137931034,0.735632183908046,1393,0.735632183908046
"65","The Guardian","wowData","0",0.689655172413793,0.379310344827586,0.653815314785873,0.723877808121728,0.5,2.96852206432667e-24,0.0661925797221934,0.729885057471264,0.649425287356322,0.675531914893617,0.70625,0.675531914893617,0.729885057471264,0.701657458563536,0.5,0.364942528735632,0.540229885057471,0.689655172413793,1393,0.689655172413793
"66","The Guardian","wowData","0",0.709770114942529,0.419540229885057,0.674492859156033,0.743257717488785,0.5,2.02241197499781e-29,0.724989179296909,0.701149425287356,0.718390804597701,0.713450292397661,0.706214689265537,0.713450292397661,0.701149425287356,0.707246376811594,0.5,0.350574712643678,0.491379310344828,0.709770114942529,1393,0.709770114942529
"67","The Guardian","wowData","0",0.688218390804598,0.376436781609195,0.652341284119426,0.722490580652062,0.5,6.60187295273034e-24,0.892004019736183,0.692528735632184,0.683908045977011,0.686609686609687,0.689855072463768,0.686609686609687,0.692528735632184,0.689556509298998,0.5,0.346264367816092,0.504310344827586,0.688218390804598,1393,0.688218390804598
"68","The Guardian","wowData","0",0.714080459770115,0.42816091954023,0.678933994945595,0.747400279478704,0.5,1.32711110939647e-30,0.320986012806316,0.692528735632184,0.735632183908046,0.723723723723724,0.705234159779614,0.723723723723724,0.692528735632184,0.707782672540382,0.5,0.346264367816092,0.478448275862069,0.714080459770115,1393,0.714080459770115
"69","The Guardian","wowData","0",0.708333333333333,0.416666666666667,0.673013297949895,0.741876042579997,0.5,4.94501884510439e-29,0.160400810755251,0.738505747126437,0.67816091954023,0.696476964769648,0.7217125382263,0.696476964769648,0.738505747126437,0.716875871687587,0.5,0.369252873563218,0.530172413793103,0.708333333333333,1393,0.708333333333333
"70","The Guardian","wowData","0",0.691091954022989,0.382183908045977,0.655289730376996,0.725264649232185,0.5,1.32594468352762e-24,0.133514043444877,0.724137931034483,0.658045977011494,0.679245283018868,0.704615384615385,0.679245283018868,0.724137931034483,0.700973574408901,0.5,0.362068965517241,0.533045977011494,0.691091954022989,1393,0.691091954022989
"71","Washingtonpost","wowData","0",0.694556451612903,0.389112903225806,0.664843245464891,0.723109822006582,0.5,1.57310784955273e-35,0.645811980077628,0.685483870967742,0.703629032258065,0.698151950718686,0.691089108910891,0.698151950718686,0.685483870967742,0.69175991861648,0.5,0.342741935483871,0.490927419354839,0.694556451612903,1986,0.694556451612903
"72","Washingtonpost","wowData","0",0.685483870967742,0.370967741935484,0.65556643834271,0.714295751552691,0.5,2.1673473967349e-32,0.865134745405447,0.689516129032258,0.681451612903226,0.684,0.686991869918699,0.684,0.689516129032258,0.686746987951807,0.5,0.344758064516129,0.504032258064516,0.685483870967742,1986,0.685483870967742
"73","Washingtonpost","wowData","0",0.698588709677419,0.397177419354839,0.668970440912436,0.727023005391777,0.5,5.60305796445463e-37,0.643613868265069,0.689516129032258,0.707661290322581,0.702258726899384,0.695049504950495,0.702258726899384,0.689516129032258,0.695829094608342,0.5,0.344758064516129,0.490927419354839,0.698588709677419,1986,0.698588709677419
"74","Washingtonpost","wowData","0",0.700604838709677,0.401209677419355,0.671035014332816,0.728978618674249,0.5,1.02772325887751e-37,0.296269871484286,0.681451612903226,0.719758064516129,0.708595387840671,0.693203883495146,0.708595387840671,0.681451612903226,0.694758478931141,0.5,0.340725806451613,0.480846774193548,0.700604838709677,1986,0.700604838709677
"75","Washingtonpost","wowData","0",0.714717741935484,0.429435483870968,0.685505598829299,0.742649286988194,0.5,4.18591032449149e-43,0.721344123591737,0.721774193548387,0.707661290322581,0.711729622266402,0.717791411042945,0.711729622266402,0.721774193548387,0.716716716716717,0.5,0.360887096774194,0.507056451612903,0.714717741935484,1986,0.714717741935484
"76","Washingtonpost","wowData","0",0.710685483870968,0.421370967741935,0.681367790099667,0.738746747821097,0.5,1.5995144140393e-41,0.6367661479181,0.701612903225806,0.719758064516129,0.714579055441478,0.706930693069307,0.714579055441478,0.701612903225806,0.708036622583927,0.5,0.350806451612903,0.490927419354839,0.710685483870968,1986,0.710685483870968
